season,round,gp_name,driver_code,team,finish_position,avg_finish_3,avg_finish_5,avg_points_3,avg_points_5,dnf_rate_3,dnf_rate_5,avg_grid_to_finish_5,quali_position,gap_to_pole_s,vs_teammate_q_gap_s,team_avg_points_5,cum_points,season_progress
2022,1,Bahrain Grand Prix,ALB,Williams,13.0,,,,,,,,14.0,2.1059999999999945,-0.48499999999999943,,0.0,0.0
2022,2,Saudi Arabian Grand Prix,ALB,Williams,14.0,13.0,13.0,0.0,0.0,0.0,0.0,1.0,17.0,2.2920000000000016,-0.6624999999999943,0.0,0.0,0.045454545454545456
2022,3,Australian Grand Prix,ALB,Williams,10.0,13.5,13.5,0.0,0.0,0.5,0.5,1.5,16.0,2.26700000000001,-0.6184999999999974,0.0,0.0,0.09090909090909091
2022,4,Emilia Romagna Grand Prix,ALB,Williams,11.0,12.333333333333334,12.333333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,4.333333333333333,20.0,,,0.3333333333333333,1.0,0.13636363636363635
2022,5,Miami Grand Prix,ALB,Williams,9.0,11.666666666666666,12.0,0.3333333333333333,0.25,0.6666666666666666,0.5,5.0,18.0,2.469999999999999,-0.02949999999999875,0.25,1.0,0.18181818181818182
2022,6,Spanish Grand Prix,ALB,Williams,18.0,10.0,11.4,1.0,0.6,0.3333333333333333,0.4,5.8,19.0,2.894999999999996,-0.13500000000000512,0.6,3.0,0.22727272727272727
2022,7,Monaco Grand Prix,ALB,Williams,18.0,12.666666666666666,12.4,0.6666666666666666,0.6,0.6666666666666666,0.6,5.6,16.0,2.2349999999999994,-0.3960000000000008,0.6,3.0,0.2727272727272727
2022,8,Azerbaijan Grand Prix,ALB,Williams,12.0,15.0,13.2,0.6666666666666666,0.6,0.6666666666666666,0.6,4.8,17.0,3.3599999999999994,-0.3240000000000123,0.6,3.0,0.3181818181818182
2022,9,Canadian Grand Prix,ALB,Williams,13.0,16.0,13.6,0.0,0.4,1.0,0.8,3.8,12.0,5.5589999999999975,-4.400999999999996,0.4,3.0,0.36363636363636365
2022,10,British Grand Prix,ALB,Williams,20.0,14.333333333333334,14.0,0.0,0.4,0.6666666666666666,0.6,2.2,16.0,2.948999999999998,0.03999999999999204,0.4,3.0,0.4090909090909091
2022,11,Austrian Grand Prix,ALB,Williams,12.0,15.0,16.2,0.0,0.0,0.6666666666666666,0.8,-0.4,11.0,1.2460000000000093,-0.38649999999999807,0.0,3.0,0.45454545454545453
2022,12,French Grand Prix,ALB,Williams,13.0,15.0,15.0,0.0,0.0,0.6666666666666666,0.8,0.2,15.0,2.4350000000000023,-0.24349999999999739,0.0,3.0,0.5
2022,13,Hungarian Grand Prix,ALB,Williams,17.0,15.0,14.0,0.0,0.0,0.6666666666666666,0.6,0.6,17.0,1.8790000000000049,-0.15699999999999648,0.0,3.0,0.5454545454545454
2022,14,Belgian Grand Prix,ALB,Williams,10.0,14.0,15.0,0.0,0.0,0.6666666666666666,0.6,-0.4,9.0,2.006999999999991,-0.3644999999999925,0.0,3.0,0.5909090909090909
2022,15,Dutch Grand Prix,ALB,Williams,12.0,13.333333333333334,14.4,0.3333333333333333,0.2,0.3333333333333333,0.6,-1.0,15.0,1.3529999999999944,-0.8290000000000077,0.2,4.0,0.6363636363636364
2022,17,Singapore Grand Prix,ALB,Williams,17.0,13.0,12.8,0.3333333333333333,0.2,0.3333333333333333,0.4,0.4,19.0,7.572999999999993,-0.2734999999999985,0.6,4.0,0.7272727272727273
2022,18,Japanese Grand Prix,ALB,Williams,20.0,13.0,13.8,0.3333333333333333,0.2,0.3333333333333333,0.4,0.0,16.0,2.007000000000005,-0.09999999999999432,0.6,4.0,0.7727272727272727
2022,19,United States Grand Prix,ALB,Williams,13.0,16.333333333333332,15.2,0.0,0.2,0.6666666666666666,0.6,-0.8,11.0,2.0120000000000005,-0.4380000000000024,1.0,4.0,0.8181818181818182
2022,20,Mexico City Grand Prix,ALB,Williams,12.0,16.666666666666668,14.4,0.0,0.2,0.6666666666666666,0.4,-1.8,19.0,3.083999999999989,-0.15400000000001057,0.8,4.0,0.8636363636363636
2022,21,São Paulo Grand Prix,ALB,Williams,15.0,15.0,14.8,0.0,0.0,0.6666666666666666,0.6,0.0,11.0,0.75,-1.7319999999999993,0.8,4.0,0.9090909090909091
2022,22,Abu Dhabi Grand Prix,ALB,Williams,13.0,13.333333333333334,15.4,0.0,0.0,0.3333333333333333,0.6,0.2,19.0,2.2040000000000077,-0.012999999999991019,0.4,4.0,0.9545454545454546
2023,1,Bahrain Grand Prix,ALB,Williams,10.0,13.333333333333334,14.6,0.0,0.0,0.6666666666666666,0.6,1.2,15.0,1.7530000000000001,-0.09550000000000125,0.4,0.0,0.0
2023,2,Saudi Arabian Grand Prix,ALB,Williams,19.0,12.666666666666666,12.6,0.3333333333333333,0.2,0.3333333333333333,0.4,3.0,17.0,1.7289999999999992,-19.257999999999996,0.2,1.0,0.045454545454545456
2023,3,Australian Grand Prix,ALB,Williams,19.0,14.0,13.8,0.3333333333333333,0.2,0.6666666666666666,0.6,3.6,8.0,0.8769999999999953,-0.47400000000000375,0.2,1.0,0.09090909090909091
2023,4,Azerbaijan Grand Prix,ALB,Williams,12.0,16.0,15.2,0.3333333333333333,0.2,0.6666666666666666,0.6,0.4,13.0,1.6149999999999949,-0.2120000000000033,0.2,1.0,0.13636363636363635
2023,5,Miami Grand Prix,ALB,Williams,14.0,16.666666666666668,14.6,0.0,0.2,0.6666666666666666,0.6,-0.4,11.0,0.9810000000000088,-0.39100000000000534,0.2,1.0,0.18181818181818182
2023,6,Monaco Grand Prix,ALB,Williams,14.0,15.0,14.8,0.0,0.2,0.3333333333333333,0.4,-2.2,13.0,1.1620000000000061,-0.29299999999999216,0.2,1.0,0.22727272727272727
2023,7,Spanish Grand Prix,ALB,Williams,16.0,13.333333333333334,15.6,0.0,0.0,0.3333333333333333,0.6,-3.4,18.0,1.7909999999999968,-0.31799999999999784,0.0,1.0,0.2727272727272727
2023,8,Canadian Grand Prix,ALB,Williams,7.0,14.666666666666666,15.0,0.0,0.0,0.6666666666666666,0.6,-2.6,10.0,0.0,-2.3060000000000116,0.0,1.0,0.3181818181818182
2023,9,Austrian Grand Prix,ALB,Williams,11.0,12.333333333333334,12.6,2.0,1.2,0.6666666666666666,0.4,0.0,10.0,0.9959999999999951,-0.2804999999999893,1.2,7.0,0.36363636363636365
2023,10,British Grand Prix,ALB,Williams,8.0,11.333333333333334,12.4,2.0,1.2,0.3333333333333333,0.4,-0.2,8.0,0.8100000000000023,-0.7505000000000024,1.2,7.0,0.4090909090909091
2023,11,Hungarian Grand Prix,ALB,Williams,11.0,8.666666666666666,11.2,3.3333333333333335,2.0,0.0,0.4,0.4,16.0,2.308000000000007,-0.16550000000000864,2.0,11.0,0.45454545454545453
2023,12,Belgian Grand Prix,ALB,Williams,14.0,10.0,10.6,1.3333333333333333,2.0,0.3333333333333333,0.4,1.6,16.0,14.145999999999987,-0.6105000000000018,2.0,11.0,0.5
2023,13,Dutch Grand Prix,ALB,Williams,8.0,11.0,10.2,1.3333333333333333,2.0,0.3333333333333333,0.2,1.4,4.0,0.8520000000000039,-2.664500000000004,2.0,11.0,0.5454545454545454
2023,14,Italian Grand Prix,ALB,Williams,7.0,11.0,10.4,1.3333333333333333,1.6,0.3333333333333333,0.2,0.2,6.0,0.4660000000000082,-0.5849999999999937,1.6,15.0,0.5909090909090909
2023,15,Singapore Grand Prix,ALB,Williams,11.0,9.666666666666666,9.6,3.3333333333333335,2.8,0.0,0.2,0.2,14.0,1.6840000000000117,-0.2920000000000016,2.8,21.0,0.6363636363636364
2023,16,Japanese Grand Prix,ALB,Williams,16.0,8.666666666666666,10.2,3.3333333333333335,2.0,0.0,0.2,0.8,13.0,1.6600000000000108,0.0,2.0,21.0,0.6818181818181818
2023,17,Qatar Grand Prix,ALB,Williams,13.0,11.333333333333334,11.2,2.0,2.0,0.3333333333333333,0.2,-0.8,14.0,1.9289999999999878,-0.25149999999999295,2.0,21.0,0.7272727272727273
2023,18,United States Grand Prix,ALB,Williams,9.0,13.333333333333334,11.0,0.0,2.0,0.3333333333333333,0.2,-1.0,18.0,1.5919999999999987,-0.2560000000000002,2.0,21.0,0.7727272727272727
