season,round,gp_name,driver_code,team,q1_time_s,q2_time_s,q3_time_s,quali_position
2022,1,Bahrain Grand Prix,LEC,Ferrari,91.471,90.932,90.558,1.0
2022,1,Bahrain Grand Prix,VER,Red Bull Racing,91.785,90.757,90.681,2.0
2022,1,Bahrain Grand Prix,SAI,Ferrari,91.567,90.787,90.687,3.0
2022,1,Bahrain Grand Prix,PER,Red Bull Racing,92.311,91.008,90.921,4.0
2022,1,Bahrain Grand Prix,HAM,Mercedes,92.285,91.048,91.238,5.0
2022,1,Bahrain Grand Prix,BOT,Alfa Romeo,91.919,91.717,91.56,6.0
2022,1,Bahrain Grand Prix,MAG,Haas F1 Team,91.955,91.461,91.808,7.0
2022,1,Bahrain Grand Prix,ALO,Alpine,92.346,91.621,92.195,8.0
2022,1,Bahrain Grand Prix,RUS,Mercedes,92.269,91.252,92.216,9.0
2022,1,Bahrain Grand Prix,GAS,AlphaTauri,92.096,91.635,92.338,10.0
2022,1,Bahrain Grand Prix,OCO,Alpine,92.041,91.782,,11.0
2022,1,Bahrain Grand Prix,MSC,Haas F1 Team,92.38,91.998,,12.0
2022,1,Bahrain Grand Prix,NOR,McLaren,92.239,92.008,,13.0
2022,1,Bahrain Grand Prix,ALB,Williams,92.726,92.664,,14.0
2022,1,Bahrain Grand Prix,ZHO,Alfa Romeo,92.493,93.543,,15.0
2022,1,Bahrain Grand Prix,TSU,AlphaTauri,92.75,,,16.0
2022,1,Bahrain Grand Prix,HUL,Aston Martin,92.777,,,17.0
2022,1,Bahrain Grand Prix,RIC,McLaren,92.945,,,18.0
2022,1,Bahrain Grand Prix,STR,Aston Martin,93.032,,,19.0
2022,1,Bahrain Grand Prix,LAT,Williams,93.634,,,20.0
2022,2,Saudi Arabian Grand Prix,PER,Red Bull Racing,89.705,88.924,88.2,1.0
2022,2,Saudi Arabian Grand Prix,LEC,Ferrari,89.039,88.78,88.225,2.0
2022,2,Saudi Arabian Grand Prix,SAI,Ferrari,88.855,88.686,88.402,3.0
2022,2,Saudi Arabian Grand Prix,VER,Red Bull Racing,88.928,88.945,88.461,4.0
2022,2,Saudi Arabian Grand Prix,OCO,Alpine,90.093,89.584,89.068,5.0
2022,2,Saudi Arabian Grand Prix,RUS,Mercedes,89.68,89.618,89.104,6.0
2022,2,Saudi Arabian Grand Prix,ALO,Alpine,89.978,89.295,89.147,7.0
2022,2,Saudi Arabian Grand Prix,BOT,Alfa Romeo,89.683,89.404,89.183,8.0
2022,2,Saudi Arabian Grand Prix,GAS,AlphaTauri,89.891,89.418,89.254,9.0
2022,2,Saudi Arabian Grand Prix,MAG,Haas F1 Team,89.831,89.546,89.588,10.0
2022,2,Saudi Arabian Grand Prix,NOR,McLaren,89.957,89.651,,11.0
2022,2,Saudi Arabian Grand Prix,RIC,McLaren,90.009,89.773,,12.0
2022,2,Saudi Arabian Grand Prix,ZHO,Alfa Romeo,89.978,89.819,,13.0
2022,2,Saudi Arabian Grand Prix,MSC,Haas F1 Team,90.167,89.92,,14.0
2022,2,Saudi Arabian Grand Prix,STR,Aston Martin,90.256,91.009,,15.0
2022,2,Saudi Arabian Grand Prix,HAM,Mercedes,90.343,,,16.0
2022,2,Saudi Arabian Grand Prix,ALB,Williams,90.492,,,17.0
2022,2,Saudi Arabian Grand Prix,HUL,Aston Martin,90.543,,,18.0
2022,2,Saudi Arabian Grand Prix,LAT,Williams,91.817,,,19.0
2022,2,Saudi Arabian Grand Prix,TSU,AlphaTauri,,,,20.0
2022,3,Australian Grand Prix,LEC,Ferrari,78.881,78.606,77.868,1.0
2022,3,Australian Grand Prix,VER,Red Bull Racing,78.58,78.611,78.154,2.0
2022,3,Australian Grand Prix,PER,Red Bull Racing,78.834,78.34,78.24,3.0
